generation,v4_nodes,v4_action,v4_p_m,v4_p_s,v4_p_i,v5_nodes,v5_action,v5_p_m,v5_p_s,v5_p_i
78,14,M,0.794,0.116,0.09,13,M,0.859,0.023,0.118
79,13,M,0.918,0.029,0.053,12,M,0.824,0.054,0.122
80,13,M,0.812,0.078,0.11,13,M,0.826,0.065,0.109
81,14,M,0.847,0.031,0.122,13,I,0.036,0.112,0.852
82,14,M,0.807,0.091,0.102,13,M,0.858,0.084,0.058
83,13,M,0.897,0.055,0.049,13,M,0.824,0.095,0.081
84,14,M,0.87,0.063,0.067,13,M,0.842,0.089,0.069
85,14,M,0.852,0.057,0.092,12,M,0.932,0.036,0.032
86,14,S,0.073,0.819,0.108,13,S,0.066,0.841,0.093
87,14,M,0.797,0.102,0.101,12,M,0.845,0.081,0.073
88,14,M,0.95,0.026,0.024,13,M,0.845,0.078,0.078
89,14,M,0.861,0.111,0.029,12,S,0.049,0.87,0.081
90,14,M,0.849,0.043,0.108,13,M,0.858,0.101,0.041
91,13,M,0.805,0.097,0.098,13,I,0.123,0.084,0.793
92,14,M,0.916,0.054,0.029,14,M,0.905,0.068,0.027
93,13,M,0.772,0.126,0.102,14,M,0.876,0.082,0.041
94,14,M,0.862,0.035,0.103,14,M,0.811,0.118,0.071
95,14,I,0.033,0.107,0.86,14,I,0.084,0.065,0.851
96,14,M,0.859,0.053,0.088,14,M,0.872,0.098,0.031
97,14,M,0.873,0.032,0.095,13,I,0.029,0.069,0.902
98,14,M,0.814,0.09,0.096,13,M,0.829,0.061,0.11
99,14,M,0.834,0.068,0.098,13,M,0.846,0.052,0.102
100,14,M,0.883,0.053,0.064,13,S,0.123,0.77,0.106
101,14,I,0.043,0.038,0.919,14,I,0.075,0.108,0.818
102,14,M,0.8,0.135,0.065,14,M,0.82,0.099,0.081
103,14,M,0.786,0.091,0.123,13,M,0.847,0.036,0.117
104,14,M,0.889,0.084,0.027,14,M,0.839,0.076,0.086
105,14,M,0.829,0.093,0.078,13,M,0.822,0.076,0.101
106,14,M,0.901,0.067,0.032,15,M,0.887,0.032,0.081
107,14,M,0.833,0.087,0.08,14,M,0.823,0.106,0.071
108,14,S,0.074,0.833,0.093,13,I,0.135,0.032,0.833
109,14,M,0.864,0.068,0.068,14,S,0.082,0.813,0.105
110,14,M,0.857,0.055,0.088,15,M,0.917,0.058,0.025
111,14,I,0.096,0.064,0.84,15,I,0.127,0.038,0.835
112,14,M,0.792,0.09,0.118,13,M,0.838,0.083,0.078
113,14,M,0.86,0.087,0.053,14,M,0.84,0.114,0.046
114,14,M,0.805,0.091,0.105,13,M,0.82,0.098,0.081
115,14,M,0.91,0.04,0.05,13,M,0.888,0.026,0.086
116,15,M,0.858,0.075,0.067,14,M,0.895,0.041,0.065
117,14,M,0.803,0.071,0.125,14,M,0.914,0.042,0.044
118,15,M,0.876,0.086,0.037,14,M,0.892,0.071,0.037
119,14,M,0.946,0.026,0.028,15,M,0.812,0.088,0.1
120,15,M,0.831,0.106,0.064,14,S,0.094,0.841,0.065
121,14,M,0.9,0.037,0.063,14,M,0.869,0.077,0.054
122,14,M,0.782,0.12,0.098,14,M,0.825,0.113,0.063
123,15,M,0.918,0.028,0.054,14,M,0.838,0.104,0.058
124,14,M,0.884,0.029,0.087,14,M,0.868,0.063,0.07
125,15,M,0.799,0.123,0.078,15,M,0.835,0.095,0.071
126,14,M,0.845,0.061,0.094,15,M,0.842,0.103,0.055
127,15,M,0.799,0.085,0.115,15,M,0.795,0.104,0.1
128,15,M,0.839,0.071,0.09,16,M,0.848,0.106,0.046
129,15,S,0.044,0.867,0.089,14,S,0.105,0.804,0.091
130,15,M,0.886,0.056,0.057,16,S,0.092,0.819,0.089
131,14,M,0.816,0.093,0.091,14,S,0.066,0.823,0.111
132,15,S,0.096,0.88,0.024,15,S,0.029,0.882,0.089
133,14,M,0.872,0.082,0.046,16,M,0.878,0.094,0.028
134,15,I,0.092,0.117,0.791,14,I,0.126,0.064,0.809
135,15,M,0.833,0.108,0.059,15,M,0.871,0.024,0.105
136,15,M,0.843,0.111,0.046,16,M,0.826,0.066,0.108
137,15,M,0.866,0.039,0.095,15,M,0.867,0.095,0.037
138,15,M,0.897,0.041,0.063,16,M,0.865,0.042,0.093
139,15,M,0.904,0.037,0.059,16,M,0.792,0.114,0.094
140,15,S,0.035,0.865,0.1,16,S,0.066,0.863,0.072
141,15,M,0.822,0.074,0.104,15,M,0.888,0.029,0.083
142,15,M,0.815,0.071,0.114,15,M,0.896,0.037,0.068
143,15,M,0.919,0.049,0.032,16,M,0.898,0.076,0.027
144,16,S,0.086,0.794,0.119,15,S,0.11,0.778,0.112
145,15,M,0.852,0.074,0.073,16,M,0.947,0.025,0.028
146,15,M,0.84,0.047,0.113,16,M,0.84,0.099,0.061
147,15,M,0.88,0.094,0.026,15,M,0.911,0.045,0.044
148,15,M,0.821,0.086,0.094,16,M,0.861,0.04,0.099
149,15,S,0.068,0.82,0.112,15,S,0.111,0.82,0.069
150,15,M,0.793,0.098,0.109,16,M,0.873,0.088,0.039
151,15,S,0.041,0.867,0.092,16,S,0.102,0.806,0.092
152,15,I,0.11,0.113,0.777,16,I,0.09,0.059,0.851
153,16,S,0.053,0.833,0.114,16,S,0.104,0.795,0.1
154,15,I,0.093,0.096,0.811,16,I,0.054,0.059,0.887
155,15,I,0.099,0.101,0.8,17,I,0.076,0.047,0.877
156,16,M,0.81,0.09,0.1,17,M,0.84,0.052,0.109
157,15,M,0.901,0.076,0.023,16,M,0.881,0.072,0.047
158,15,M,0.92,0.037,0.043,17,M,0.84,0.109,0.05
159,15,S,0.099,0.802,0.1,16,S,0.036,0.872,0.092
160,15,S,0.106,0.795,0.099,16,S,0.045,0.86,0.094
161,15,S,0.108,0.781,0.111,17,S,0.109,0.822,0.069
162,15,S,0.037,0.864,0.1,16,S,0.112,0.827,0.061
163,15,S,0.103,0.852,0.045,17,S,0.063,0.851,0.086
164,16,M,0.853,0.108,0.039,16,M,0.846,0.031,0.123
165,16,M,0.932,0.035,0.033,16,M,0.774,0.109,0.117
166,15,I,0.049,0.077,0.874,17,I,0.089,0.034,0.877
167,16,M,0.876,0.082,0.042,16,M,0.843,0.101,0.056
168,16,M,0.907,0.041,0.052,17,M,0.852,0.052,0.096
169,16,I,0.038,0.094,0.868,16,I,0.103,0.088,0.809
170,16,M,0.863,0.099,0.038,17,M,0.888,0.041,0.071
171,16,M,0.857,0.024,0.119,17,I,0.126,0.099,0.775
172,15,M,0.792,0.088,0.121,17,M,0.925,0.038,0.037
173,16,M,0.805,0.097,0.098,17,M,0.882,0.068,0.049
174,15,M,0.85,0.085,0.065,18,M,0.885,0.081,0.033
175,16,M,0.83,0.096,0.073,16,M,0.87,0.063,0.067
176,16,M,0.846,0.078,0.076,17,M,0.861,0.048,0.091
177,16,M,0.851,0.083,0.066,18,M,0.86,0.07,0.07
178,16,M,0.921,0.036,0.043,17,M,0.863,0.041,0.096
179,16,S,0.088,0.795,0.118,17,S,0.076,0.868,0.057
180,15,M,0.857,0.072,0.071,17,M,0.806,0.117,0.077
181,15,M,0.842,0.065,0.093,18,M,0.932,0.034,0.034
182,16,M,0.807,0.101,0.092,17,M,0.926,0.025,0.049
183,16,M,0.808,0.109,0.083,18,M,0.812,0.093,0.096
184,16,M,0.855,0.045,0.101,18,S,0.083,0.808,0.11
185,16,M,0.9,0.054,0.046,19,M,0.875,0.036,0.088
186,16,M,0.817,0.061,0.123,17,M,0.816,0.094,0.09
187,16,M,0.816,0.109,0.074,18,M,0.89,0.076,0.034
188,16,M,0.851,0.035,0.114,19,M,0.843,0.117,0.04
189,16,M,0.806,0.098,0.096,18,M,0.807,0.095,0.098
190,16,M,0.9,0.076,0.024,17,M,0.803,0.107,0.09
191,16,M,0.79,0.106,0.104,17,M,0.867,0.042,0.09
192,16,M,0.787,0.097,0.116,18,M,0.817,0.1,0.083
193,17,M,0.842,0.079,0.079,18,M,0.8,0.11,0.09
194,16,M,0.796,0.127,0.077,18,M,0.855,0.076,0.07
195,17,S,0.083,0.807,0.109,19,S,0.028,0.912,0.06
196,16,M,0.872,0.097,0.031,19,M,0.89,0.053,0.057
197,16,M,0.88,0.092,0.028,19,M,0.846,0.123,0.03
198,16,M,0.873,0.033,0.094,18,M,0.82,0.11,0.069
199,17,M,0.878,0.099,0.023,18,M,0.874,0.028,0.098
200,16,M,0.915,0.051,0.034,19,M,0.862,0.052,0.086
201,17,S,0.106,0.824,0.07,18,S,0.101,0.843,0.056
202,17,M,0.866,0.037,0.097,18,M,0.89,0.032,0.078
203,17,M,0.857,0.054,0.089,19,M,0.816,0.077,0.107
204,17,M,0.847,0.053,0.101,19,M,0.891,0.021,0.088
205,17,M,0.861,0.029,0.11,18,M,0.859,0.086,0.055
206,16,M,0.806,0.068,0.126,18,M,0.847,0.052,0.101
207,17,M,0.865,0.093,0.042,19,M,0.869,0.059,0.072
208,16,M,0.813,0.099,0.088,19,M,0.876,0.034,0.089
209,17,I,0.124,0.113,0.763,18,I,0.043,0.044,0.913
210,16,M,0.852,0.119,0.03,20,M,0.834,0.031,0.135
211,17,M,0.813,0.081,0.107,20,M,0.855,0.102,0.043
212,16,M,0.817,0.072,0.111,19,M,0.873,0.061,0.065
213,17,I,0.088,0.081,0.831,19,I,0.079,0.051,0.869
214,17,M,0.849,0.12,0.031,20,M,0.769,0.11,0.121
215,17,I,0.044,0.093,0.864,19,M,0.887,0.023,0.09
216,17,M,0.869,0.032,0.099,20,M,0.865,0.053,0.082
217,17,M,0.812,0.091,0.097,19,M,0.82,0.06,0.12
218,16,M,0.875,0.071,0.054,20,M,0.802,0.113,0.085
219,17,S,0.04,0.864,0.096,21,S,0.114,0.802,0.084
220,17,M,0.905,0.062,0.033,21,M,0.812,0.079,0.109
221,17,S,0.087,0.818,0.096,21,S,0.03,0.894,0.076
222,17,M,0.811,0.085,0.104,21,M,0.851,0.121,0.028
223,17,S,0.107,0.842,0.051,19,S,0.109,0.828,0.063
224,17,M,0.803,0.098,0.099,20,S,0.054,0.918,0.028
225,17,M,0.855,0.097,0.048,20,M,0.918,0.052,0.03
226,17,M,0.865,0.067,0.068,20,M,0.887,0.065,0.047
227,17,M,0.826,0.068,0.106,20,M,0.872,0.057,0.071
228,17,M,0.845,0.088,0.067,22,M,0.81,0.098,0.092
229,17,M,0.831,0.11,0.059,20,M,0.855,0.1,0.044
230,18,M,0.832,0.064,0.104,20,M,0.854,0.079,0.068
231,17,M,0.859,0.081,0.06,21,M,0.826,0.08,0.094
232,17,M,0.898,0.056,0.046,20,M,0.868,0.11,0.022
233,17,M,0.826,0.112,0.061,21,M,0.835,0.07,0.096
234,17,M,0.876,0.082,0.041,22,M,0.863,0.033,0.104
235,17,M,0.862,0.09,0.047,21,M,0.859,0.102,0.039
236,17,M,0.804,0.105,0.091,21,M,0.896,0.065,0.04
237,18,M,0.877,0.023,0.101,22,M,0.807,0.109,0.083
238,17,S,0.064,0.885,0.05,21,S,0.101,0.83,0.069
239,17,M,0.94,0.032,0.028,22,M,0.847,0.107,0.046
240,18,M,0.822,0.099,0.079,21,M,0.835,0.086,0.079
241,17,M,0.85,0.045,0.106,21,M,0.8,0.094,0.106
242,17,M,0.853,0.046,0.101,22,M,0.835,0.102,0.062
243,17,I,0.058,0.063,0.879,22,I,0.133,0.098,0.769
244,18,M,0.833,0.038,0.129,22,M,0.762,0.114,0.124
245,18,M,0.926,0.022,0.051,21,S,0.038,0.89,0.072
246,17,M,0.842,0.069,0.088,22,S,0.123,0.794,0.083
247,17,S,0.087,0.88,0.033,23,S,0.116,0.812,0.073
248,18,S,0.043,0.836,0.12,22,S,0.054,0.894,0.052
249,18,M,0.82,0.097,0.082,21,M,0.841,0.037,0.123
250,17,M,0.877,0.099,0.023,22,M,0.845,0.072,0.083
251,18,M,0.85,0.069,0.08,23,M,0.819,0.123,0.058
252,17,S,0.085,0.814,0.101,23,S,0.037,0.888,0.075
253,17,S,0.037,0.934,0.029,22,S,0.11,0.788,0.103
254,18,M,0.839,0.114,0.046,22,M,0.901,0.063,0.036
255,18,M,0.855,0.038,0.108,23,M,0.893,0.039,0.067
256,18,M,0.823,0.081,0.096,23,M,0.845,0.121,0.034
257,17,M,0.853,0.074,0.073,22,M,0.869,0.056,0.075
258,17,M,0.833,0.096,0.07,23,M,0.879,0.085,0.036
259,18,M,0.842,0.077,0.081,24,M,0.898,0.031,0.071
260,17,I,0.071,0.028,0.901,23,I,0.1,0.117,0.783
261,18,S,0.045,0.874,0.081,23,S,0.076,0.82,0.104
262,18,I,0.082,0.063,0.855,23,S,0.073,0.827,0.1
263,18,M,0.826,0.063,0.111,23,M,0.88,0.087,0.032
264,18,S,0.073,0.852,0.076,24,S,0.106,0.797,0.097
265,18,M,0.855,0.063,0.082,23,M,0.869,0.068,0.062
266,18,S,0.076,0.828,0.096,23,S,0.043,0.863,0.094
267,18,S,0.084,0.819,0.097,23,S,0.078,0.831,0.091
268,18,M,0.87,0.089,0.041,24,M,0.903,0.051,0.047
269,18,M,0.82,0.096,0.084,23,M,0.869,0.06,0.072
270,18,M,0.886,0.089,0.025,24,I,0.087,0.104,0.81
271,19,M,0.78,0.1,0.12,24,M,0.853,0.102,0.045
272,18,S,0.081,0.865,0.055,24,S,0.044,0.89,0.065
273,19,M,0.832,0.11,0.058,24,M,0.889,0.03,0.08
274,18,M,0.802,0.116,0.083,23,M,0.801,0.105,0.094
275,18,S,0.117,0.776,0.107,24,S,0.052,0.922,0.026
276,19,M,0.9,0.065,0.035,24,M,0.829,0.098,0.074
277,18,M,0.804,0.085,0.111,25,M,0.778,0.121,0.101
278,18,M,0.862,0.089,0.049,24,M,0.828,0.098,0.074
279,19,M,0.883,0.09,0.027,25,M,0.828,0.114,0.058
280,19,M,0.817,0.089,0.094,25,M,0.868,0.083,0.049
281,19,S,0.038,0.875,0.087,26,S,0.078,0.88,0.043
282,19,M,0.916,0.05,0.035,24,M,0.882,0.025,0.093
283,18,M,0.8,0.081,0.119,25,M,0.886,0.054,0.06
284,18,M,0.834,0.072,0.094,25,M,0.849,0.052,0.099
285,19,M,0.831,0.067,0.102,25,M,0.87,0.097,0.032
286,19,M,0.794,0.105,0.101,26,M,0.809,0.085,0.106
287,18,M,0.822,0.103,0.075,25,M,0.886,0.08,0.033
288,18,M,0.845,0.039,0.117,25,M,0.827,0.1,0.073
289,18,M,0.826,0.115,0.058,25,M,0.843,0.027,0.13
290,19,M,0.854,0.088,0.058,26,M,0.872,0.071,0.057
291,19,I,0.027,0.14,0.834,25,I,0.095,0.064,0.841
292,19,M,0.84,0.09,0.07,26,M,0.873,0.074,0.053
293,19,S,0.105,0.838,0.057,25,S,0.08,0.83,0.089
294,19,S,0.087,0.802,0.111,25,S,0.091,0.812,0.098
295,19,M,0.816,0.11,0.073,26,M,0.894,0.032,0.073
296,18,M,0.904,0.075,0.02,27,M,0.875,0.063,0.062
297,19,S,0.114,0.806,0.08,26,S,0.052,0.821,0.127
298,19,M,0.843,0.079,0.078,26,M,0.817,0.114,0.069
299,19,M,0.81,0.091,0.099,27,M,0.866,0.073,0.061
300,19,M,0.92,0.034,0.046,26,M,0.895,0.031,0.074
301,19,M,0.797,0.101,0.103,27,M,0.912,0.034,0.055
302,19,M,0.857,0.03,0.113,27,M,0.875,0.021,0.104
303,19,M,0.912,0.031,0.057,26,M,0.78,0.121,0.099
304,19,M,0.854,0.047,0.1,27,M,0.834,0.118,0.048
305,19,M,0.921,0.028,0.051,28,M,0.794,0.107,0.099
306,19,M,0.826,0.092,0.083,27,M,0.872,0.077,0.051
307,19,M,0.821,0.08,0.098,27,M,0.832,0.065,0.103
308,19,S,0.043,0.83,0.127,27,S,0.105,0.845,0.05
309,19,M,0.825,0.088,0.087,28,M,0.89,0.083,0.027
310,19,M,0.856,0.051,0.093,27,I,0.115,0.078,0.807
311,19,S,0.094,0.863,0.043,28,S,0.058,0.892,0.051
312,19,M,0.855,0.088,0.056,27,M,0.92,0.043,0.037
313,19,M,0.804,0.101,0.095,27,M,0.902,0.064,0.034
314,19,S,0.087,0.811,0.101,28,S,0.104,0.811,0.085
315,19,S,0.036,0.833,0.131,28,S,0.08,0.882,0.039
316,19,M,0.828,0.063,0.11,28,M,0.825,0.113,0.062
317,19,M,0.82,0.096,0.085,29,M,0.8,0.092,0.107
318,19,S,0.051,0.841,0.108,28,S,0.062,0.821,0.117
319,19,M,0.812,0.123,0.064,29,M,0.893,0.071,0.036
320,19,I,0.126,0.134,0.74,27,I,0.13,0.084,0.786
321,20,M,0.866,0.082,0.052,29,M,0.879,0.077,0.045
322,19,M,0.822,0.075,0.103,29,M,0.827,0.096,0.077
323,19,M,0.866,0.068,0.067,28,M,0.863,0.043,0.094
324,20,M,0.841,0.117,0.042,29,M,0.865,0.086,0.05
325,19,M,0.802,0.098,0.1,28,S,0.041,0.895,0.064
326,20,M,0.859,0.116,0.026,30,M,0.891,0.069,0.04
327,20,M,0.871,0.103,0.026,30,M,0.807,0.073,0.12
328,20,M,0.876,0.076,0.048,29,M,0.776,0.113,0.111
329,19,M,0.855,0.119,0.025,29,M,0.84,0.073,0.086
330,19,M,0.899,0.062,0.039,29,I,0.038,0.085,0.877
331,20,M,0.848,0.036,0.117,29,M,0.841,0.056,0.102
332,19,M,0.877,0.091,0.032,29,M,0.872,0.058,0.071
333,20,M,0.919,0.054,0.027,29,M,0.87,0.04,0.09
334,19,M,0.842,0.028,0.13,29,M,0.91,0.04,0.05
335,20,M,0.84,0.05,0.11,30,M,0.814,0.08,0.106
336,20,M,0.868,0.105,0.027,30,M,0.784,0.102,0.113
337,19,M,0.845,0.081,0.073,30,M,0.834,0.074,0.092
338,20,M,0.851,0.077,0.072,30,M,0.82,0.074,0.106
339,20,I,0.113,0.099,0.788,31,I,0.096,0.112,0.791
340,20,S,0.131,0.815,0.055,30,S,0.101,0.801,0.098
341,20,S,0.06,0.879,0.061,30,S,0.051,0.915,0.034
342,20,M,0.841,0.085,0.074,31,M,0.851,0.052,0.097
343,19,I,0.126,0.036,0.838,30,I,0.111,0.12,0.769
344,19,M,0.88,0.035,0.085,31,M,0.806,0.107,0.087
345,20,M,0.866,0.083,0.051,31,M,0.811,0.091,0.098
346,20,M,0.86,0.031,0.11,31,I,0.136,0.035,0.829
347,20,M,0.797,0.083,0.12,31,M,0.854,0.028,0.118
348,20,M,0.846,0.039,0.115,32,M,0.84,0.106,0.053
349,20,M,0.806,0.079,0.115,32,M,0.827,0.059,0.114
350,20,M,0.904,0.025,0.071,30,M,0.785,0.096,0.119
351,20,M,0.829,0.079,0.092,32,M,0.814,0.113,0.073
352,20,S,0.026,0.908,0.066,32,S,0.136,0.81,0.054
353,20,S,0.062,0.841,0.097,31,S,0.091,0.816,0.092
354,20,M,0.888,0.035,0.077,32,M,0.851,0.054,0.096
355,20,I,0.089,0.134,0.777,33,I,0.111,0.095,0.795
356,20,I,0.052,0.057,0.891,32,S,0.116,0.805,0.079
357,20,M,0.829,0.104,0.067,31,M,0.853,0.068,0.078
358,20,S,0.042,0.92,0.039,32,S,0.062,0.851,0.087
359,21,M,0.824,0.082,0.095,32,M,0.796,0.106,0.098
360,20,M,0.849,0.078,0.074,33,M,0.875,0.056,0.069
361,21,S,0.074,0.819,0.107,32,S,0.086,0.824,0.091
362,21,S,0.087,0.869,0.044,32,S,0.044,0.847,0.109
363,21,M,0.836,0.061,0.103,32,M,0.88,0.06,0.06
364,21,M,0.918,0.027,0.055,33,M,0.91,0.051,0.039
365,21,M,0.853,0.023,0.124,32,M,0.848,0.08,0.072
366,21,M,0.933,0.028,0.039,32,M,0.819,0.099,0.082
367,20,M,0.828,0.082,0.09,34,M,0.888,0.041,0.071
368,21,S,0.031,0.882,0.087,32,S,0.038,0.909,0.054
369,21,M,0.817,0.116,0.067,34,M,0.831,0.12,0.049
370,20,S,0.087,0.819,0.094,33,S,0.054,0.898,0.049
371,21,M,0.827,0.061,0.112,34,S,0.1,0.846,0.054
372,20,M,0.876,0.097,0.027,34,M,0.862,0.053,0.085
373,21,M,0.837,0.057,0.105,34,M,0.846,0.104,0.05
374,20,M,0.814,0.06,0.126,34,M,0.812,0.111,0.077
375,21,I,0.066,0.03,0.904,34,I,0.058,0.087,0.855
376,21,S,0.069,0.892,0.039,33,S,0.101,0.792,0.106
377,21,S,0.069,0.894,0.037,35,S,0.027,0.854,0.119
378,21,M,0.821,0.121,0.058,33,M,0.862,0.062,0.076
379,20,M,0.879,0.074,0.047,34,M,0.869,0.088,0.042
380,21,M,0.899,0.067,0.033,34,M,0.814,0.106,0.081
381,21,M,0.788,0.117,0.095,34,M,0.788,0.101,0.111
382,21,M,0.801,0.084,0.115,35,M,0.825,0.081,0.093
383,21,M,0.804,0.107,0.089,34,M,0.792,0.105,0.103
384,21,M,0.802,0.077,0.121,35,M,0.826,0.098,0.076
385,21,M,0.807,0.114,0.078,36,M,0.859,0.066,0.075
386,21,M,0.867,0.06,0.072,36,M,0.807,0.093,0.1
387,21,M,0.877,0.082,0.041,34,M,0.802,0.081,0.117
388,21,M,0.772,0.114,0.114,35,M,0.856,0.123,0.021
389,22,M,0.876,0.058,0.066,35,M,0.828,0.097,0.076
390,21,M,0.873,0.025,0.102,36,M,0.782,0.092,0.126
391,21,M,0.844,0.076,0.08,36,M,0.873,0.041,0.086
392,21,M,0.812,0.114,0.074,35,M,0.822,0.077,0.101
393,21,S,0.081,0.835,0.083,37,S,0.089,0.835,0.076
394,21,M,0.852,0.089,0.059,37,M,0.924,0.051,0.025
395,21,M,0.857,0.025,0.118,37,M,0.912,0.055,0.032
396,22,M,0.923,0.035,0.042,36,M,0.82,0.07,0.11
397,21,M,0.843,0.12,0.037,36,M,0.848,0.104,0.047
398,21,M,0.897,0.028,0.075,36,M,0.767,0.118,0.115
399,21,M,0.829,0.108,0.063,36,M,0.847,0.121,0.031
400,21,S,0.032,0.906,0.063,37,S,0.104,0.81,0.086
401,21,M,0.934,0.027,0.039,37,M,0.891,0.051,0.058
402,21,S,0.036,0.931,0.032,36,S,0.057,0.858,0.085
403,21,M,0.822,0.063,0.115,36,M,0.804,0.093,0.104
404,22,M,0.878,0.051,0.07,37,S,0.119,0.841,0.04
405,21,M,0.934,0.035,0.031,38,M,0.807,0.071,0.121
406,22,M,0.856,0.075,0.069,38,M,0.836,0.062,0.102
